,State,Place,CityFIPS,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
0,01,07000,0107000,"Birmingham city, Alabama",212295.0,35.9,31445.0,19650.0,62258.0,29.32617348500907,7.2526437268894695
1,01,35896,0135896,"Hoover city, Alabama",82264.0,36.7,75020.0,38457.0,5537.0,6.730769230769231,3.397597977243995
2,01,37000,0137000,"Huntsville city, Alabama",182317.0,36.7,48881.0,30916.0,29494.0,16.177317529358206,6.053193064826648
3,01,50000,0150000,"Mobile city, Alabama",195116.0,35.5,38644.0,23385.0,43928.0,22.51378667049345,6.267553660386642
4,01,51000,0151000,"Montgomery city, Alabama",204760.0,34.2,43702.0,24365.0,44774.0,21.866575503027935,4.366087126391873
5,01,77256,0177256,"Tuscaloosa city, Alabama",92461.0,27.6,38519.0,21511.0,21984.0,23.776511177685727,3.6772260736959366
6,02,03000,0203000,"Anchorage municipality, Alaska",295237.0,32.8,77454.0,36214.0,22874.0,7.747673902661252,3.991708356337451
7,04,04720,0404720,"Avondale city, Arizona",76872.0,29.7,55506.0,20635.0,13094.0,17.033510250806536,5.592413362472682
8,04,12000,0412000,"Chandler city, Arizona",241096.0,34.0,71083.0,32185.0,21914.0,9.089325413942994,4.1792481003417725
9,04,27400,0427400,"Gilbert town, Arizona",215683.0,32.4,80355.0,31673.0,14398.0,6.675537710436149,3.4360612565663495
10,04,27820,0427820,"Glendale city, Arizona",230047.0,32.8,47474.0,22071.0,46571.0,20.2441240268293,6.077888431494434
11,04,46000,0446000,"Mesa city, Arizona",447002.0,35.6,48547.0,24155.0,69449.0,15.536619522955155,4.708703764188974
12,04,54050,0454050,"Peoria city, Arizona",157152.0,38.5,62013.0,28751.0,15451.0,9.831882508654042,4.172393606190186
13,04,55000,0455000,"Phoenix city, Arizona",1473639.0,32.6,47139.0,23812.0,331487.0,22.494450811901693,5.249861058237466
14,04,65000,0465000,"Scottsdale city, Arizona",221283.0,45.4,72154.0,50531.0,19235.0,8.692488803929809,3.5113406813898944
15,04,71510,0471510,"Surprise city, Arizona",118784.0,37.0,58455.0,24612.0,10910.0,9.184738685344827,4.037580818965517
16,04,73000,0473000,"Tempe city, Arizona",164742.0,28.3,47941.0,26227.0,34433.0,20.901166672736764,5.594808852630173
17,04,77000,0477000,"Tucson city, Arizona",523278.0,33.0,37032.0,20314.0,126367.0,24.14911385535031,6.0084696853297865
18,04,85540,0485540,"Yuma city, Arizona",92492.0,30.2,44220.0,20617.0,14487.0,15.662976257406045,5.108549928642478
19,05,23290,0523290,"Fayetteville city, Arkansas",75602.0,27.6,36314.0,25503.0,17687.0,23.394883733234572,4.388772783788789
20,05,24550,0524550,"Fort Smith city, Arkansas",86924.0,35.3,36618.0,22704.0,21323.0,24.530624453545627,3.1372233215222494
21,05,35710,0535710,"Jonesboro city, Arkansas",69049.0,30.9,40046.0,24007.0,15945.0,23.09229677475416,5.015279004764732
22,05,41000,0541000,"Little Rock city, Arkansas",195092.0,35.3,44896.0,29294.0,35766.0,18.332889098476617,5.081705041723905
23,05,66080,0566080,"Springdale city, Arkansas",72070.0,29.4,41281.0,18390.0,16901.0,23.450811710836685,3.6658803940613294
24,06,00562,0600562,"Alameda city, California",74818.0,40.6,74606.0,41340.0,7592.0,10.147290758908284,4.9119195915421425
25,06,00884,0600884,"Alhambra city, California",83799.0,39.8,54148.0,25703.0,11565.0,13.800880678767049,4.071647633026647
26,06,02000,0602000,"Anaheim city, California",340081.0,32.8,59165.0,23400.0,54093.0,15.905916531649813,6.0591447331665105
27,06,02252,0602252,"Antioch city, California",104035.0,33.8,65254.0,24678.0,15335.0,14.74023165280915,6.964002499158937
28,06,02364,0602364,"Apple Valley town, California",69785.0,36.6,48432.0,22941.0,13990.0,20.04728809916171,6.297915024718779
29,06,03526,0603526,"Bakersfield city, California",352918.0,30.1,56204.0,23316.0,71445.0,20.244079361211387,5.739010195002805
30,06,03666,0603666,"Baldwin Park city, California",75933.0,31.0,51153.0,15314.0,13164.0,17.336335980403778,7.177380058735991
31,06,04982,0604982,"Bellflower city, California",76989.0,32.0,49637.0,20397.0,13075.0,16.982945615607424,5.170868565639247
32,06,06000,0606000,"Berkeley city, California",114037.0,31.8,63312.0,41308.0,19464.0,17.068144549576015,4.466971246174487
33,06,08786,0608786,"Buena Park city, California",81522.0,35.5,66371.0,23623.0,9746.0,11.955055077157086,4.017320477907804
34,06,08954,0608954,"Burbank city, California",103850.0,38.6,66240.0,33663.0,9710.0,9.350024073182475,5.3220991815117955
35,06,11194,0611194,"Carlsbad city, California",107307.0,41.1,83908.0,43441.0,11358.0,10.584584416673655,4.479670478160791
36,06,11530,0611530,"Carson city, California",91994.0,37.3,72235.0,23762.0,9142.0,9.937604626388678,7.632019479531274
37,06,13014,0613014,"Chico city, California",86833.0,29.3,43372.0,24221.0,19368.0,22.304884087846787,6.328239263874334
38,06,13210,0613210,"Chino city, California",79342.0,34.0,71466.0,23866.0,7134.0,8.99145471503113,5.374202818179526
39,06,13214,0613214,"Chino Hills city, California",75551.0,36.7,96497.0,34955.0,4603.0,6.0925732286799645,5.937710950219057
40,06,13392,0613392,"Chula Vista city, California",248048.0,33.7,64801.0,25104.0,29118.0,11.73885699542024,6.011739663290976
41,06,13588,0613588,"Citrus Heights city, California",84218.0,37.0,52183.0,25023.0,12322.0,14.631076491961338,7.702628891685863
42,06,14218,0614218,"Clovis city, California",97100.0,33.9,65260.0,27906.0,12711.0,13.090628218331616,5.543769309989702
43,06,15044,0615044,"Compton city, California",97040.0,27.6,42953.0,13548.0,25343.0,26.11603462489695,7.471145919208574
44,06,16000,0616000,"Concord city, California",123658.0,37.1,65798.0,31359.0,14827.0,11.990328163159683,6.052176163289071
45,06,16350,0616350,"Corona city, California",155227.0,32.6,77123.0,26832.0,16722.0,10.772610435040296,5.933890367010894
46,06,16532,0616532,"Costa Mesa city, California",110871.0,33.8,65830.0,34100.0,16548.0,14.92545390589063,5.723769064949356
47,06,17918,0617918,"Daly City city, California",102605.0,38.6,74436.0,28827.0,8777.0,8.554164027094195,5.664441304030018
48,06,19766,0619766,"Downey city, California",112334.0,34.0,60939.0,23055.0,13178.0,11.731087649331458,5.2370609076504
49,06,21712,0621712,"El Cajon city, California",100590.0,32.4,44112.0,19803.0,26152.0,25.998608211551844,6.641813301521026
50,06,22020,0622020,"Elk Grove city, California",155350.0,33.8,77791.0,28898.0,14711.0,9.469584808496942,5.3685226906984225
51,06,22230,0622230,"El Monte city, California",114412.0,33.5,39535.0,14735.0,27574.0,24.10061881620809,6.5517603048631265
52,06,22804,0622804,"Escondido city, California",145859.0,32.7,49362.0,21653.0,26931.0,18.463721813532246,4.762818886733077
53,06,23182,0623182,"Fairfield city, California",106533.0,33.0,64702.0,26611.0,14048.0,13.186524363342814,5.2631578947368425
54,06,24638,0624638,"Folsom city, California",72424.0,37.7,98359.0,37821.0,2973.0,4.104992820059649,4.462609079863029
55,06,24680,0624680,"Fontana city, California",198692.0,29.1,64354.0,19299.0,30547.0,15.374046262557124,7.598192176836511
56,06,26000,0626000,"Fremont city, California",218172.0,37.3,101535.0,40190.0,13088.0,5.998936618814513,4.275067378032012
57,06,27000,0627000,"Fresno city, California",500819.0,29.6,42015.0,19455.0,142471.0,28.44760282657008,7.137508760650055
58,06,28000,0628000,"Fullerton city, California",136702.0,34.4,67384.0,29913.0,21438.0,15.68228701847815,5.569779520416673
59,06,29000,0629000,"Garden Grove city, California",172785.0,35.6,59648.0,20849.0,28535.0,16.514743756691843,5.753392944989438
60,06,30000,0630000,"Glendale city, California",193381.0,40.7,53020.0,29290.0,27239.0,14.085665086021894,5.794261070115471
61,06,32548,0632548,"Hawthorne city, California",85092.0,31.1,44649.0,20162.0,16196.0,19.03351666431627,5.31424810793024
62,06,33000,0633000,"Hayward city, California",147163.0,33.8,62013.0,25208.0,20931.0,14.223004423666275,7.541297744677671
63,06,33182,0633182,"Hemet city, California",79986.0,39.6,32774.0,17917.0,18460.0,23.079038831795565,7.438801790313305
64,06,33434,0633434,"Hesperia city, California",90804.0,31.1,44158.0,16239.0,22730.0,25.031936919078454,7.757367516849478
65,06,36000,0636000,"Huntington Beach city, California",193197.0,40.6,81389.0,42196.0,17045.0,8.822600765022232,5.066331257731745
66,06,36448,0636448,"Indio city, California",80167.0,32.2,50068.0,20607.0,17333.0,21.621115920515923,7.398306036149537
67,06,36546,0636546,"Inglewood city, California",110585.0,33.0,43394.0,20150.0,24470.0,22.127775014694578,7.4657503278021435
68,06,36770,0636770,"Irvine city, California",221266.0,34.2,90585.0,43096.0,25971.0,11.737456274348522,3.7538528287219908
69,06,39496,0639496,"Lake Forest city, California",78253.0,38.4,93631.0,39860.0,4646.0,5.937152569230572,3.9180606494319705
70,06,39892,0639892,"Lakewood city, California",80511.0,37.7,77786.0,29354.0,6538.0,8.1206294792016,4.73599880761635
71,06,40130,0640130,"Lancaster city, California",157368.0,32.3,50193.0,20156.0,32236.0,20.484469523664277,5.248843475166488
72,06,41992,0641992,"Livermore city, California",82442.0,38.4,99161.0,42213.0,4694.0,5.6936998132020085,3.909415103951869
73,06,43000,0643000,"Long Beach city, California",465424.0,33.9,52711.0,27040.0,92847.0,19.948906803258964,6.537479803362095
74,06,44000,0644000,"Los Angeles city, California",3827261.0,34.3,49497.0,27829.0,825131.0,21.55930834087354,6.421014924250006
75,06,44574,0644574,"Lynwood city, California",70257.0,27.9,40740.0,12187.0,16951.0,24.127133239392517,5.852797586005665
76,06,45484,0645484,"Manteca city, California",69168.0,33.0,61458.0,23511.0,7411.0,10.714492250751793,8.182974786028222
77,06,46842,0646842,"Menifee city, California",79604.0,37.9,54903.0,23478.0,8108.0,10.18541781820009,7.726998643284257
78,06,46898,0646898,"Merced city, California",79639.0,28.4,37822.0,16876.0,23629.0,29.670136490915255,7.2703072615175985
79,06,47766,0647766,"Milpitas city, California",67695.0,36.8,95466.0,33789.0,4702.0,6.94586010783662,4.728561932195879
80,06,48256,0648256,"Mission Viejo city, California",94311.0,43.0,96210.0,40909.0,4964.0,5.26343692676358,4.719491893840591
81,06,48354,0648354,"Modesto city, California",202629.0,33.6,47060.0,22439.0,41546.0,20.50348173262465,7.767397559085817
82,06,49270,0649270,"Moreno Valley city, California",196234.0,29.2,54918.0,18186.0,38015.0,19.372280033021802,7.44162581407911
83,06,49670,0649670,"Mountain View city, California",75477.0,35.8,97338.0,54758.0,6107.0,8.09120659273686,4.54443075373955
84,06,50076,0650076,"Murrieta city, California",104584.0,33.1,74496.0,28452.0,7280.0,6.96091180295265,5.923468216935669
85,06,50258,0650258,"Napa city, California",77698.0,37.4,63274.0,30668.0,8507.0,10.948801770959355,5.126258076140956
86,06,51182,0651182,"Newport Beach city, California",86001.0,43.7,106333.0,78494.0,6799.0,7.905722026488064,4.198788386181556
87,06,52526,0652526,"Norwalk city, California",105940.0,33.6,60770.0,19449.0,13469.0,12.713800264300547,5.708891825561639
88,06,53000,0653000,"Oakland city, California",397011.0,36.2,52583.0,31971.0,80274.0,20.21959089294755,6.778653488190503
89,06,53322,0653322,"Oceanside city, California",169407.0,35.4,58153.0,26863.0,22398.0,13.221413518921887,4.994480747548803
90,06,53896,0653896,"Ontario city, California",165702.0,31.0,54249.0,18522.0,29801.0,17.984695417074025,7.359597349458666
91,06,53980,0653980,"Orange city, California",137999.0,35.4,78838.0,31535.0,15623.0,11.321096529684997,4.726121203776839
92,06,54652,0654652,"Oxnard city, California",199574.0,30.5,60784.0,20605.0,33038.0,16.554260575024802,5.19757082585908
93,06,55156,0655156,"Palmdale city, California",153885.0,29.1,53922.0,18797.0,32318.0,21.001397147220327,6.448321798745817
94,06,56000,0656000,"Pasadena city, California",138004.0,37.3,69302.0,41152.0,17904.0,12.973536998927568,5.765050288397438
95,06,56700,0656700,"Perris city, California",69743.0,27.0,48311.0,13666.0,17860.0,25.608304776106564,8.934229958562149
96,06,57792,0657792,"Pleasanton city, California",71488.0,40.1,118317.0,50540.0,3450.0,4.8259847806624885,4.167132945389436
97,06,58072,0658072,"Pomona city, California",150006.0,29.9,49474.0,17035.0,31533.0,21.021159153633853,5.827766889324427
98,06,59451,0659451,"Rancho Cucamonga city, California",167743.0,35.2,77835.0,32209.0,11296.0,6.734111110448723,5.957923728560953
99,06,59920,0659920,"Redding city, California",90370.0,38.0,44236.0,23443.0,16070.0,17.782449928073476,5.658957618678765
100,06,59962,0659962,"Redlands city, California",69277.0,36.2,66835.0,32389.0,8352.0,12.055949304964129,4.206302235951326
101,06,60018,0660018,"Redondo Beach city, California",67094.0,40.0,99496.0,53689.0,3634.0,5.416281634721436,4.304408739976749
102,06,60102,0660102,"Redwood City city, California",78241.0,36.6,79419.0,40562.0,6890.0,8.806124666095782,4.0720338441482085
103,06,60466,0660466,"Rialto city, California",100479.0,28.4,49593.0,15948.0,19048.0,18.95719503577862,7.73992575563053
104,06,60620,0660620,"Richmond city, California",105280.0,34.8,54589.0,25722.0,19266.0,18.299772036474163,6.06667933130699
105,06,62000,0662000,"Riverside city, California",309150.0,30.4,55636.0,22182.0,57144.0,18.484230955846677,6.860747210092188
106,06,62938,0662938,"Roseville city, California",122039.0,37.1,74114.0,33622.0,10018.0,8.208851268856677,4.837797753177263
107,06,64000,0664000,"Sacramento city, California",471477.0,33.7,49753.0,25508.0,101466.0,21.52088012776869,7.246164712170477
108,06,64224,0664224,"Salinas city, California",152340.0,28.8,49264.0,17396.0,31514.0,20.686622029670474,5.385978731784167
109,06,65000,0665000,"San Bernardino city, California",211528.0,29.2,38385.0,14879.0,66825.0,31.59156234635604,7.488370333951061
110,06,65042,0665042,"San Buenaventura (Ventura) city, California",107551.0,39.3,65137.0,32311.0,11290.0,10.497345445416594,5.1463956634526875
111,06,66000,0666000,"San Diego city, California",1322838.0,33.7,64058.0,33152.0,200777.0,15.177746632618657,4.985342120501528
112,06,67000,0667000,"San Francisco city, California",817501.0,38.5,75604.0,48486.0,108306.0,13.248424160949039,5.033388338362889
113,06,68000,0668000,"San Jose city, California",968903.0,35.6,81829.0,34025.0,117443.0,12.121234014137638,5.704079768563004
114,06,68084,0668084,"San Leandro city, California",86038.0,39.9,63055.0,28801.0,8555.0,9.943280875892048,6.081033961737837
115,06,68196,0668196,"San Marcos city, California",85322.0,34.5,53657.0,24484.0,12342.0,14.465202409695038,3.545392747474274
116,06,68252,0668252,"San Mateo city, California",98601.0,39.2,85669.0,45202.0,6899.0,6.996886441313983,4.505025304003002
117,06,68378,0668378,"San Ramon city, California",72707.0,37.4,127313.0,51091.0,2767.0,3.8056858349264857,3.7699258668353806
118,06,69000,0669000,"Santa Ana city, California",328719.0,29.2,53335.0,16374.0,68903.0,20.961064009077663,5.32734645700431
119,06,69070,0669070,"Santa Barbara city, California",89062.0,36.1,65034.0,37225.0,12343.0,13.858884821809525,4.314971592822977
120,06,69084,0669084,"Santa Clara city, California",117817.0,34.4,91583.0,39966.0,10319.0,8.758498349134674,4.692871147627252
121,06,69088,0669088,"Santa Clarita city, California",177366.0,36.4,82607.0,33818.0,16538.0,9.324222229739634,5.701769222962687
122,06,69196,0669196,"Santa Maria city, California",100152.0,28.9,50563.0,18560.0,20448.0,20.416966211358734,5.410775621055995
123,06,70000,0670000,"Santa Monica city, California",90752.0,40.2,73649.0,57390.0,10026.0,11.047690409026798,6.03182299012694
124,06,70098,0670098,"Santa Rosa city, California",169005.0,36.7,60354.0,29688.0,22423.0,13.267654803112334,5.9524866128221054
125,06,72016,0672016,"Simi Valley city, California",124803.0,38.1,87269.0,36516.0,8205.0,6.574361193240547,4.7082201549642235
126,06,73080,0673080,"South Gate city, California",95000.0,30.3,42776.0,14259.0,19954.0,21.004210526315788,6.996842105263158
127,06,75000,0675000,"Stockton city, California",294406.0,31.0,46831.0,19896.0,70269.0,23.868059754216965,7.833739801498611
128,06,77000,0677000,"Sunnyvale city, California",143315.0,35.2,100043.0,45977.0,11586.0,8.084289851027457,4.853644070753236
129,06,78120,0678120,"Temecula city, California",102605.0,33.3,78356.0,28018.0,8697.0,8.476195117197017,5.256079138443545
130,06,78582,0678582,"Thousand Oaks city, California",127356.0,41.7,100476.0,45522.0,8586.0,6.741731838311504,4.956971010396055
131,06,80000,0680000,"Torrance city, California",146187.0,41.8,77061.0,36234.0,10711.0,7.3269168941150715,4.306128451914329
132,06,80238,0680238,"Tracy city, California",83452.0,32.7,76098.0,26652.0,6770.0,8.112447874227101,7.00762114748598
133,06,80812,0680812,"Turlock city, California",69185.0,33.3,53270.0,23199.0,11764.0,17.003685770036856,7.390330273903302
134,06,80854,0680854,"Tustin city, California",76497.0,33.3,73194.0,31524.0,9312.0,12.17302639319189,4.828947540426422
135,06,81204,0681204,"Union City city, California",70687.0,36.5,82083.0,29685.0,5905.0,8.353728408335337,4.832571760012449
136,06,81344,0681344,"Upland city, California",74487.0,36.5,62667.0,28604.0,9962.0,13.374145824103534,5.578154577308792
137,06,81554,0681554,"Vacaville city, California",93137.0,37.5,73582.0,29681.0,8382.0,8.999645683240818,4.664096975423301
138,06,81666,0681666,"Vallejo city, California",117079.0,38.5,58371.0,25996.0,20242.0,17.28918080953886,8.254255673519589
139,06,82590,0682590,"Victorville city, California",117551.0,29.0,50034.0,16477.0,28417.0,24.174188224685455,5.936997558506521
140,06,82954,0682954,"Visalia city, California",125502.0,31.2,52899.0,23144.0,23784.0,18.951092412869915,5.594333158037322
141,06,82996,0682996,"Vista city, California",95066.0,33.9,47346.0,21114.0,14917.0,15.691204005638188,4.079271243136348
142,06,84200,0684200,"West Covina city, California",106731.0,35.7,67088.0,24859.0,10590.0,9.922140708884953,7.179732224002398
143,06,84550,0684550,"Westminster city, California",90625.0,39.0,52633.0,22950.0,15083.0,16.643310344827587,6.247724137931034
144,06,85292,0685292,"Whittier city, California",85832.0,34.9,68522.0,28149.0,10466.0,12.193587473203467,4.590362568738932
145,08,03455,0803455,"Arvada city, Colorado",108300.0,40.0,68210.0,33204.0,9167.0,8.464450600184673,4.331486611265005
146,08,04000,0804000,"Aurora city, Colorado",332820.0,33.3,50987.0,24173.0,55124.0,16.562706568114898,5.770386395048375
147,08,07850,0807850,"Boulder city, Colorado",100363.0,28.1,56312.0,37286.0,20908.0,20.83237846616781,4.59930452457579
148,08,12815,0812815,"Centennial city, Colorado",102625.0,41.1,89214.0,41323.0,5287.0,5.151766138855055,3.6989037758830694
149,08,16000,0816000,"Colorado Springs city, Colorado",425805.0,34.6,53962.0,29062.0,57453.0,13.492795998168175,4.98819882340508
150,08,20000,0820000,"Denver city, Colorado",619297.0,33.8,50313.0,33251.0,116284.0,18.77677431022595,4.978871203961912
151,08,27425,0827425,"Fort Collins city, Colorado",146822.0,29.5,53780.0,28729.0,25921.0,17.654711146830856,4.700930378281184
152,08,32155,0832155,"Greeley city, Colorado",94194.0,30.5,46272.0,21845.0,20314.0,21.56612947746141,5.173365607151198
153,08,43000,0843000,"Lakewood city, Colorado",144530.0,38.8,56492.0,31094.0,17969.0,12.4327129315713,5.074379021656403
154,08,45970,0845970,"Longmont city, Colorado",87607.0,36.0,58698.0,29209.0,12811.0,14.623260698346023,4.587532959695001
155,08,46465,0846465,"Loveland city, Colorado",68712.0,37.7,54977.0,27878.0,7135.0,10.38392129467924,4.648387472348353
156,08,62000,0862000,"Pueblo city, Colorado",107429.0,37.7,34663.0,20042.0,24612.0,22.91001498664234,5.894125422371985
157,08,77290,0877290,"Thornton city, Colorado",121814.0,32.0,64525.0,26228.0,11369.0,9.33308158339764,4.245817393731427
158,08,83835,0883835,"Westminster city, Colorado",108042.0,35.3,64884.0,31145.0,11360.0,10.514429573684309,4.997130745450844
159,09,08000,0908000,"Bridgeport city, Connecticut",145587.0,32.3,41050.0,20132.0,33015.0,22.67716210925426,8.252110421947014
160,09,18430,0918430,"Danbury city, Connecticut",81967.0,36.3,64969.0,30770.0,8293.0,10.117486305464395,5.357033928288214
161,09,37000,0937000,"Hartford city, Connecticut",125130.0,30.1,29430.0,16619.0,39452.0,31.528810037560937,9.653959881723008
162,09,50370,0950370,"New Britain city, Connecticut",73112.0,33.8,40294.0,20655.0,15658.0,21.416456942772733,7.693675456833351
163,09,52000,0952000,"New Haven city, Connecticut",130338.0,30.4,37428.0,23339.0,32135.0,24.65512743789225,7.412266568460464
164,09,55990,0955990,"Norwalk city, Connecticut",86499.0,41.3,74728.0,43767.0,8343.0,9.645198210383935,5.827813038301021
