,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State,City,CityFIPS
56,63.0,11.0,83.0,42.0,104.0,Alabama,Birmingham,107000.0
2851,63.0,11.0,83.0,42.0,104.0,Alabama,Hoover,135896.0
3713,59.0,5.0,81.0,37.0,102.0,Alabama,Huntsville,137000.0
5549,67.0,18.0,84.0,48.0,102.0,Alabama,Mobile,150000.0
7779,64.0,16.0,85.0,45.0,102.0,Alabama,Montgomery,151000.0
9542,63.0,1.0,85.0,42.0,103.0,Alabama,Tuscaloosa,177256.0
10650,39.0,-24.0,57.0,19.0,86.0,Alaska,Anchorage,203000.0
12246,79.0,23.0,97.0,54.0,131.0,Arizona,Avondale,404720.0
12945,77.0,21.0,95.0,51.0,117.0,Arizona,Chandler,412000.0
14753,74.0,25.0,95.0,51.0,120.0,Arizona,Gilbert,427400.0
16092,78.0,28.0,97.0,53.0,120.0,Arizona,Glendale,427820.0
17898,76.0,25.0,96.0,53.0,117.0,Arizona,Mesa,446000.0
21426,78.0,28.0,97.0,53.0,120.0,Arizona,Peoria,454050.0
22839,74.0,25.0,94.0,53.0,117.0,Arizona,Phoenix,455000.0
32936,76.0,27.0,95.0,54.0,118.0,Arizona,Scottsdale,465000.0
34780,75.0,25.0,95.0,52.0,118.0,Arizona,Surprise,471510.0
35697,78.0,30.0,97.0,56.0,119.0,Arizona,Tempe,473000.0
36844,71.0,17.0,93.0,48.0,113.0,Arizona,Tucson,477000.0
40980,76.0,28.0,99.0,51.0,118.0,Arizona,Yuma,485540.0
41923,56.0,-18.0,80.0,33.0,106.0,Arkansas,Fayetteville,523290.0
42450,62.0,3.0,86.0,40.0,113.0,Arkansas,Fort Smith,524550.0
43094,59.0,5.0,82.0,39.0,104.0,Arkansas,Jonesboro,535710.0
43588,62.0,10.0,84.0,42.0,108.0,Arkansas,Little Rock,541000.0
45098,61.0,-4.0,83.0,35.0,109.0,Arkansas,Springdale,566080.0
45602,58.0,30.0,78.0,45.0,101.0,California,Alameda,600562.0
46106,65.0,36.0,86.0,52.0,112.0,California,Alhambra,600884.0
46722,66.0,32.0,90.0,51.0,111.0,California,Anaheim,602000.0
48955,60.0,24.0,86.0,42.0,109.0,California,Antioch,602252.0
49571,65.0,12.0,89.0,40.0,114.0,California,Apple Valley,602364.0
49991,69.0,25.0,91.0,47.0,111.0,California,Bakersfield,603526.0
52315,65.0,36.0,86.0,52.0,112.0,California,Baldwin Park,603666.0
52873,65.0,35.0,88.0,51.0,109.0,California,Bellflower,604982.0
53433,58.0,30.0,78.0,45.0,101.0,California,Berkeley,606000.0
54413,66.0,32.0,90.0,51.0,111.0,California,Buena Park,608786.0
54973,66.0,31.0,90.0,49.0,112.0,California,Burbank,608954.0
55673,63.0,32.0,80.0,52.0,103.0,California,Carlsbad,611194.0
56311,65.0,35.0,88.0,51.0,109.0,California,Carson,611530.0
56926,65.0,19.0,85.0,44.0,111.0,California,Chico,613014.0
57649,65.0,23.0,92.0,45.0,115.0,California,Chino,613210.0
58209,65.0,23.0,92.0,45.0,115.0,California,Chino Hills,613214.0
58601,62.0,30.0,84.0,47.0,106.0,California,Chula Vista,613392.0
59974,63.0,23.0,86.0,42.0,108.0,California,Citrus Heights,613588.0
60673,68.0,27.0,90.0,47.0,112.0,California,Clovis,614218.0
61399,65.0,35.0,88.0,51.0,109.0,California,Compton,615044.0
62265,58.0,30.0,78.0,45.0,101.0,California,Concord,616000.0
63159,63.0,20.0,92.0,38.0,110.0,California,Corona,616350.0
64195,65.0,35.0,85.0,53.0,107.0,California,Costa Mesa,616532.0
64973,58.0,34.0,78.0,47.0,98.0,California,Daly City,617918.0
65589,65.0,35.0,88.0,51.0,109.0,California,Downey,619766.0
66259,65.0,30.0,90.0,47.0,113.0,California,El Cajon,621712.0
67098,62.0,22.0,87.0,43.0,109.0,California,Elk Grove,622020.0
67938,65.0,36.0,86.0,52.0,112.0,California,El Monte,622230.0
68862,63.0,32.0,80.0,52.0,103.0,California,Escondido,622804.0
69894,60.0,18.0,86.0,41.0,109.0,California,Fairfield,623182.0
70702,62.0,19.0,86.0,40.0,109.0,California,Folsom,624638.0
71234,66.0,28.0,91.0,48.0,112.0,California,Fontana,624680.0
72269,60.0,1.0,81.0,46.0,105.0,California,Fremont,626000.0
73529,68.0,27.0,90.0,47.0,112.0,California,Fresno,627000.0
77107,66.0,32.0,90.0,51.0,111.0,California,Fullerton,628000.0
78086,63.0,32.0,86.0,49.0,109.0,California,Garden Grove,629000.0
79372,66.0,31.0,90.0,49.0,112.0,California,Glendale,630000.0
80601,64.0,34.0,83.0,53.0,110.0,California,Hawthorne,632548.0
81323,58.0,30.0,78.0,45.0,101.0,California,Hayward,633000.0
82442,63.0,22.0,90.0,41.0,109.0,California,Hemet,633182.0
83167,65.0,12.0,89.0,40.0,112.0,California,Hesperia,633434.0
83697,63.0,32.0,86.0,49.0,109.0,California,Huntington Beach,636000.0
84569,74.0,19.0,99.0,48.0,123.0,California,Indio,636448.0
85710,64.0,34.0,83.0,53.0,110.0,California,Inglewood,636546.0
86657,65.0,35.0,85.0,53.0,107.0,California,Irvine,636770.0
87742,65.0,35.0,85.0,53.0,107.0,California,Lake Forest,639496.0
88246,65.0,35.0,88.0,51.0,109.0,California,Lakewood,639892.0
88834,63.0,9.0,89.0,38.0,111.0,California,Lancaster,640130.0
89841,60.0,24.0,86.0,42.0,109.0,California,Livermore,641992.0
90428,65.0,35.0,88.0,51.0,109.0,California,Long Beach,643000.0
93563,63.0,37.0,82.0,51.0,102.0,California,Los Angeles,644000.0
121004,65.0,35.0,88.0,51.0,109.0,California,Lynwood,644574.0
121708,64.0,22.0,87.0,42.0,110.0,California,Manteca,645484.0
123303,65.0,21.0,87.0,42.0,109.0,California,Merced,646898.0
123918,60.0,25.0,83.0,45.0,107.0,California,Milpitas,647766.0
124442,65.0,35.0,85.0,53.0,107.0,California,Mission Viejo,648256.0
125142,65.0,24.0,87.0,44.0,111.0,California,Modesto,648354.0
126534,63.0,22.0,90.0,41.0,109.0,California,Moreno Valley,649270.0
127804,60.0,1.0,81.0,46.0,105.0,California,Mountain View,649670.0
128466,63.0,22.0,90.0,41.0,109.0,California,Murrieta,650076.0
129018,57.0,19.0,82.0,38.0,105.0,California,Napa,650258.0
129741,65.0,35.0,85.0,53.0,107.0,California,Newport Beach,651182.0
130413,66.0,32.0,90.0,51.0,111.0,California,Norwalk,652526.0
131057,58.0,30.0,78.0,45.0,101.0,California,Oakland,653000.0
134273,61.0,9.0,81.0,44.0,104.0,California,Oceanside,653322.0
135280,66.0,28.0,91.0,48.0,112.0,California,Ontario,653896.0
136424,65.0,35.0,85.0,53.0,107.0,California,Orange,653980.0
137432,60.0,32.0,79.0,49.0,103.0,California,Oxnard,654652.0
138580,64.0,15.0,89.0,41.0,110.0,California,Palmdale,655156.0
139722,66.0,31.0,90.0,49.0,112.0,California,Pasadena,656000.0
140814,63.0,22.0,90.0,41.0,109.0,California,Perris,656700.0
141178,60.0,24.0,86.0,42.0,109.0,California,Pleasanton,657792.0
141625,65.0,23.0,92.0,45.0,115.0,California,Pomona,658072.0
142600,66.0,28.0,91.0,48.0,112.0,California,Rancho Cucamonga,659451.0
143468,66.0,16.0,90.0,42.0,114.0,California,Redding,659920.0
144361,63.0,22.0,90.0,41.0,109.0,California,Redlands,659962.0
144893,67.0,34.0,86.0,50.0,109.0,California,Redondo Beach,660018.0
145313,60.0,32.0,81.0,47.0,108.0,California,Redwood City,660102.0
145954,66.0,28.0,91.0,48.0,112.0,California,Rialto,660466.0
146822,58.0,30.0,78.0,45.0,101.0,California,Richmond,660620.0
147692,67.0,30.0,92.0,48.0,113.0,California,Riverside,662000.0
149814,63.0,23.0,86.0,42.0,108.0,California,Roseville,662938.0
150703,62.0,22.0,87.0,43.0,109.0,California,Sacramento,664000.0
154062,56.0,28.0,76.0,44.0,101.0,California,Salinas,664224.0
155035,67.0,30.0,92.0,48.0,113.0,California,San Bernardino,665000.0
157439,63.0,35.0,85.0,50.0,107.0,California,San Diego,666000.0
165573,58.0,34.0,78.0,47.0,98.0,California,San Francisco,667000.0
171270,64.0,27.0,85.0,46.0,108.0,California,San Jose,668000.0
177446,58.0,30.0,78.0,45.0,101.0,California,San Leandro,668084.0
178057,63.0,32.0,80.0,52.0,103.0,California,San Marcos,668196.0
178617,60.0,32.0,81.0,47.0,108.0,California,San Mateo,668252.0
179402,60.0,24.0,86.0,42.0,109.0,California,San Ramon,668378.0
179860,65.0,35.0,85.0,53.0,107.0,California,Santa Ana,669000.0
181670,60.0,29.0,81.0,44.0,101.0,California,Santa Barbara,669070.0
182398,60.0,25.0,83.0,45.0,107.0,California,Santa Clara,669084.0
183151,71.0,34.0,93.0,51.0,113.0,California,Santa Clarita,669088.0
184572,57.0,26.0,82.0,42.0,105.0,California,Santa Maria,669196.0
185153,63.0,37.0,82.0,51.0,102.0,California,Santa Monica,670000.0
185741,57.0,21.0,85.0,38.0,109.0,California,Santa Rosa,670098.0
186805,66.0,30.0,91.0,49.0,111.0,California,Simi Valley,672016.0
187639,65.0,36.0,86.0,52.0,112.0,California,South Gate,673080.0
188255,64.0,22.0,87.0,42.0,110.0,California,Stockton,675000.0
190315,60.0,1.0,81.0,46.0,105.0,California,Sunnyvale,677000.0
191232,61.0,25.0,85.0,42.0,108.0,California,Temecula,678120.0
191906,62.0,32.0,83.0,47.0,104.0,California,Thousand Oaks,678582.0
192793,67.0,34.0,86.0,50.0,109.0,California,Torrance,680000.0
193689,63.0,22.0,87.0,42.0,110.0,California,Tracy,680238.0
194165,65.0,24.0,87.0,44.0,111.0,California,Turlock,680812.0
194641,65.0,35.0,85.0,53.0,107.0,California,Tustin,680854.0
195304,61.0,28.0,81.0,45.0,108.0,California,Union City,681204.0
195809,66.0,28.0,91.0,48.0,112.0,California,Upland,681344.0
196340,63.0,21.0,88.0,42.0,112.0,California,Vacaville,681554.0
196982,57.0,19.0,82.0,38.0,105.0,California,Vallejo,681666.0
197962,65.0,12.0,88.0,39.0,110.0,California,Victorville,682590.0
198576,66.0,23.0,88.0,44.0,109.0,California,Visalia,682954.0
199244,63.0,32.0,80.0,52.0,103.0,California,Vista,682996.0
200056,66.0,32.0,90.0,51.0,111.0,California,West Covina,684200.0
201008,63.0,32.0,86.0,49.0,109.0,California,Westminster,684550.0
201680,66.0,32.0,90.0,51.0,111.0,California,Whittier,685292.0
202380,52.0,-13.0,78.0,28.0,104.0,Colorado,Arvada,803455.0
203388,49.0,-17.0,78.0,25.0,102.0,Colorado,Aurora,804000.0
205880,52.0,-13.0,78.0,27.0,104.0,Colorado,Boulder,807850.0
206719,50.0,-17.0,77.0,25.0,100.0,Colorado,Centennial,812815.0
207853,50.0,-15.0,77.0,25.0,100.0,Colorado,Colorado Springs,816000.0
210854,49.0,-17.0,78.0,25.0,102.0,Colorado,Denver,820000.0
214902,50.0,-18.0,79.0,24.0,103.0,Colorado,Fort Collins,827425.0
216275,49.0,-32.0,79.0,21.0,106.0,Colorado,Greeley,832155.0
217352,52.0,-13.0,78.0,28.0,104.0,Colorado,Lakewood,843000.0
218637,52.0,-13.0,78.0,27.0,104.0,Colorado,Longmont,845970.0
219276,50.0,-18.0,79.0,24.0,103.0,Colorado,Loveland,846465.0
219780,53.0,-20.0,84.0,25.0,107.0,Colorado,Pueblo,862000.0
220922,52.0,-13.0,78.0,28.0,104.0,Colorado,Thornton,877290.0
221924,52.0,-13.0,78.0,27.0,104.0,Colorado,Westminster,883835.0
222929,53.0,-2.0,74.0,35.0,103.0,Connecticut,Bridgeport,908000.0
224042,49.0,-14.0,74.0,28.0,97.0,Connecticut,Danbury,918430.0
224525,51.0,-8.0,75.0,31.0,103.0,Connecticut,Hartford,937000.0
225700,51.0,-8.0,75.0,31.0,103.0,Connecticut,New Britain,950370.0
226340,52.0,-3.0,72.0,33.0,100.0,Connecticut,New Haven,952000.0
227264,53.0,-2.0,74.0,35.0,103.0,Connecticut,Norwalk,955990.0
227936,51.0,-1.0,74.0,33.0,99.0,Connecticut,Stamford,973000.0
228692,49.0,-9.0,72.0,29.0,97.0,Connecticut,Waterbury,980000.0
229533,56.0,3.0,79.0,37.0,103.0,Delaware,Wilmington,1077580.0
230260,58.0,5.0,81.0,41.0,105.0,District of Columbia,Washington,1150000.0
235333,77.0,32.0,89.0,60.0,102.0,Florida,Boca Raton,1207300.0
236132,75.0,32.0,89.0,59.0,98.0,Florida,Boynton Beach,1207875.0
236860,73.0,30.0,90.0,58.0,97.0,Florida,Cape Coral,1210275.0
237756,72.0,30.0,88.0,58.0,97.0,Florida,Clearwater,1212875.0
238820,76.0,34.0,89.0,61.0,99.0,Florida,Coral Springs,1214400.0
239604,75.0,34.0,90.0,61.0,117.0,Florida,Davie,1216475.0
240276,77.0,32.0,89.0,60.0,102.0,Florida,Deerfield Beach,1216725.0
240808,70.0,25.0,89.0,54.0,100.0,Florida,Deltona,1217200.0
241368,76.0,34.0,89.0,61.0,99.0,Florida,Fort Lauderdale,1224000.0
242852,68.0,17.0,87.0,48.0,99.0,Florida,Gainesville,1225175.0
243987,75.0,33.0,89.0,61.0,108.0,Florida,Hialeah,1230000.0
245242,75.0,34.0,89.0,61.0,117.0,Florida,Hollywood,1232000.0
246278,71.0,24.0,88.0,55.0,102.0,Florida,Jacksonville,1235000.0
250932,71.0,27.0,89.0,54.0,102.0,Florida,Lakeland,1238250.0
252174,72.0,30.0,88.0,58.0,97.0,Florida,Largo,1239425.0
253237,76.0,34.0,89.0,61.0,99.0,Florida,Lauderhill,1239550.0
253713,73.0,30.0,87.0,60.0,99.0,Florida,Melbourne,1243975.0
254464,76.0,36.0,89.0,62.0,98.0,Florida,Miami,1245000.0
257429,76.0,36.0,89.0,62.0,98.0,Florida,Miami Beach,1245025.0
258292,75.0,34.0,90.0,61.0,117.0,Florida,Miami Gardens,1245060.0
259017,75.0,34.0,90.0,61.0,117.0,Florida,Miramar,1245975.0
259521,71.0,28.0,89.0,57.0,99.0,Florida,Orlando,1253000.0
261813,73.0,30.0,87.0,60.0,99.0,Florida,Palm Bay,1254000.0
262317,73.0,25.0,88.0,50.0,99.0,Florida,Palm Coast,1254200.0
262820,75.0,34.0,90.0,61.0,117.0,Florida,Pembroke Pines,1255775.0
263716,76.0,34.0,89.0,61.0,99.0,Florida,Plantation,1257425.0
264331,76.0,34.0,88.0,61.0,102.0,Florida,Pompano Beach,1258050.0
265115,75.0,23.0,88.0,59.0,102.0,Florida,Port St. Lucie,1258715.0
265786,74.0,33.0,87.0,62.0,98.0,Florida,St. Petersburg,1263000.0
268474,67.0,14.0,88.0,46.0,103.0,Florida,Tallahassee,1270600.0
270200,73.0,25.0,88.0,57.0,99.0,Florida,Tampa,1271000.0
273379,75.0,32.0,89.0,59.0,98.0,Florida,West Palm Beach,1276600.0
274351,65.0,16.0,87.0,46.0,104.0,Georgia,Albany,1301052.0
275106,60.0,7.0,84.0,41.0,108.0,Georgia,Athens,1303440.0
276002,61.0,10.0,82.0,41.0,103.0,Georgia,Atlanta,1304000.0
279724,62.0,10.0,87.0,41.0,106.0,Georgia,Augusta,1304204.0
281096,65.0,16.0,85.0,46.0,104.0,Georgia,Columbus,1319000.0
282636,60.0,9.0,82.0,41.0,104.0,Georgia,Johns Creek,1342425.0
283084,62.0,11.0,86.0,41.0,106.0,Georgia,Macon,1349000.0
284145,60.0,9.0,82.0,41.0,104.0,Georgia,Roswell,1367284.0
284705,60.0,9.0,82.0,41.0,104.0,Georgia,Sandy Springs,1368516.0
285458,65.0,18.0,86.0,47.0,99.0,Georgia,Savannah,1369000.0
287013,63.0,15.0,86.0,44.0,107.0,Georgia,Warner Robins,1380508.0
287601,79.0,55.0,87.0,68.0,93.0,Hawaii,Honolulu,15003.0
294322,55.0,-11.0,78.0,31.0,110.0,Idaho,Boise City,1608830.0
295638,55.0,-11.0,78.0,31.0,110.0,Idaho,Meridian,1652120.0
295918,53.0,-19.0,77.0,29.0,109.0,Idaho,Nampa,1656260.0
296392,50.0,-21.0,74.0,29.0,103.0,Illinois,Arlington Heights,1702154.0
297096,48.0,-25.0,73.0,25.0,98.0,Illinois,Aurora,1703012.0
298318,51.0,-21.0,75.0,29.0,100.0,Illinois,Bloomington,1706613.0
299046,50.0,-23.0,74.0,27.0,97.0,Illinois,Bolingbrook,1707133.0
299578,51.0,-16.0,76.0,28.0,100.0,Illinois,Champaign,1712385.0
300245,52.0,-22.0,75.0,31.0,102.0,Illinois,Chicago,1714000.0
322614,52.0,-22.0,75.0,31.0,102.0,Illinois,Cicero,1714351.0
323118,53.0,-16.0,77.0,30.0,104.0,Illinois,Decatur,1718823.0
323986,49.0,-24.0,73.0,26.0,99.0,Illinois,Elgin,1723074.0
324824,50.0,-21.0,74.0,29.0,103.0,Illinois,Evanston,1724582.0
325384,51.0,-21.0,75.0,27.0,100.0,Illinois,Joliet,1738570.0
326725,50.0,-23.0,74.0,27.0,97.0,Illinois,Naperville,1751622.0
327814,50.0,-21.0,74.0,29.0,103.0,Illinois,Palatine,1757225.0
328290,52.0,-20.0,77.0,29.0,104.0,Illinois,Peoria,1759000.0
329382,49.0,-25.0,74.0,26.0,102.0,Illinois,Rockford,1765000.0
330997,50.0,-23.0,75.0,29.0,103.0,Illinois,Schaumburg,1768003.0
331778,53.0,-14.0,78.0,30.0,103.0,Illinois,Springfield,1772000.0
333070,47.0,-23.0,72.0,26.0,104.0,Illinois,Waukegan,1779293.0
333854,52.0,-16.0,77.0,29.0,103.0,Indiana,Bloomington,1805860.0
334520,53.0,-13.0,76.0,31.0,102.0,Indiana,Carmel,1810342.0
334995,56.0,-3.0,80.0,34.0,107.0,Indiana,Evansville,1822000.0
336274,53.0,-13.0,76.0,31.0,102.0,Indiana,Fishers,1823278.0
336582,50.0,-15.0,75.0,28.0,103.0,Indiana,Fort Wayne,1825000.0
338865,52.0,-20.0,76.0,30.0,100.0,Indiana,Gary,1827000.0
339798,52.0,-20.0,76.0,30.0,100.0,Indiana,Hammond,1831000.0
340385,53.0,-14.0,77.0,31.0,105.0,Indiana,Indianapolis,1836003.0
346348,51.0,-18.0,75.0,28.0,101.0,Indiana,Lafayette,1840788.0
347046,52.0,-13.0,76.0,29.0,97.0,Indiana,Muncie,1851876.0
